                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6811,                 2.3958,                 1.5901,                0.82075,                0.72295,                0.80081,                0.49654,                 1.3621,                 1.5375,                 1.2876,             0.00025317,             0.00025317,             0.00025317
                      2,                 1.2391,                0.98214,                 1.2367,                0.87577,                0.82516,                0.87205,                0.54561,                 1.3892,                 1.0746,                 1.3543,             0.00048933,             0.00048933,             0.00048933
                      3,                 1.1749,                0.78485,                 1.2069,                0.91498,                 0.8392,                0.88487,                0.58806,                 1.2993,                 1.0021,                 1.3574,             0.00070518,             0.00070518,             0.00070518
                      4,                  1.116,                0.70949,                 1.1843,                0.93257,                0.90364,                0.93907,                0.59854,                  1.317,                0.73827,                 1.4138,             0.00067764,             0.00067764,             0.00067764
                      5,                 1.0618,                0.64209,                 1.1426,                0.94908,                0.90182,                0.94073,                 0.6238,                 1.2126,                0.71699,                 1.3187,             0.00064719,             0.00064719,             0.00064719
                      6,                 1.0463,                0.61389,                  1.163,                0.92888,                 0.9188,                0.95121,                0.64321,                 1.2066,                0.72117,                 1.3124,             0.00061674,             0.00061674,             0.00061674
                      7,                 1.0106,                  0.562,                 1.1307,                0.94811,                0.95165,                0.95408,                0.67234,                 1.1377,                0.58933,                 1.2614,             0.00058629,             0.00058629,             0.00058629
                      8,                0.97091,                0.52471,                 1.0978,                0.95522,                0.93415,                0.96517,                0.63264,                 1.2699,                0.60905,                 1.3668,             0.00055583,             0.00055583,             0.00055583
                      9,                0.95729,                 0.5115,                 1.1052,                0.92912,                0.91957,                0.94431,                0.59992,                 1.3556,                0.63671,                 1.3929,             0.00052538,             0.00052538,             0.00052538
                     10,                0.93823,                0.50151,                 1.0901,                0.94881,                0.95996,                0.97443,                0.65242,                 1.2223,                0.54218,                 1.3284,             0.00049493,             0.00049493,             0.00049493
                     11,                0.88972,                0.47325,                 1.0679,                0.96103,                0.94982,                0.97044,                0.66845,                 1.2093,                0.53732,                 1.3161,             0.00046448,             0.00046448,             0.00046448
                     12,                0.90025,                0.46416,                  1.071,                0.94241,                0.95203,                0.97311,                0.65988,                 1.2171,                0.51884,                 1.3524,             0.00043402,             0.00043402,             0.00043402
                     13,                0.86095,                 0.4445,                 1.0626,                0.94887,                0.94711,                 0.9721,                0.66986,                 1.2112,                0.53982,                 1.3139,             0.00040357,             0.00040357,             0.00040357
                     14,                0.84922,                 0.4331,                 1.0482,                0.95738,                0.95643,                0.96242,                0.65479,                 1.2378,                0.52383,                 1.3718,             0.00037312,             0.00037312,             0.00037312
                     15,                0.83755,                0.42977,                 1.0483,                0.96558,                0.95908,                0.96476,                0.64978,                 1.2493,                0.53981,                 1.3483,             0.00034267,             0.00034267,             0.00034267
                     16,                0.79091,                0.38677,                 1.0582,                0.96232,                0.95049,                 0.9756,                0.66032,                 1.2167,                0.52386,                 1.3275,             0.00031221,             0.00031221,             0.00031221
                     17,                0.77718,                0.37487,                 1.0478,                0.94766,                0.93552,                0.96066,                0.65883,                 1.2194,                0.55325,                 1.3396,             0.00028176,             0.00028176,             0.00028176
                     18,                0.75245,                0.35911,                 1.0393,                0.94466,                0.93784,                0.96732,                0.66687,                 1.1795,                 0.5251,                 1.3453,             0.00025131,             0.00025131,             0.00025131
                     19,                0.72402,                0.34711,                 1.0234,                0.95389,                0.95998,                0.96794,                0.65555,                 1.2228,                0.51304,                 1.3299,             0.00022086,             0.00022086,             0.00022086
                     20,                0.71317,                0.34016,                  1.016,                0.95454,                0.95121,                0.97613,                0.66478,                 1.2206,                0.50551,                 1.3608,              0.0001904,              0.0001904,              0.0001904
                     21,                0.68585,                0.32526,                 1.0074,                0.96909,                0.96193,                 0.9783,                0.67763,                 1.1947,                0.48114,                 1.3245,             0.00015995,             0.00015995,             0.00015995
                     22,                 0.6873,                0.32678,                 1.0114,                0.96066,                0.95768,                0.97036,                0.65798,                 1.2105,                 0.5001,                 1.3388,              0.0001295,              0.0001295,              0.0001295
                     23,                0.66596,                0.31394,                 1.0044,                0.95054,                0.96926,                  0.972,                0.67151,                 1.1881,                0.48677,                 1.3256,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     24,                0.65813,                0.30776,                0.99517,                0.95585,                0.96627,                0.97169,                0.67498,                 1.1708,                0.47081,                 1.3182,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     25,                0.64206,                0.29944,                0.98838,                0.95569,                0.96348,                0.97172,                0.67588,                  1.174,                0.47023,                 1.3253,             3.8142e-05,             3.8142e-05,             3.8142e-05
